model_label,scenario,runtime,execution,temperature,group_type,group_value,runs,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,ttft_warm_mean_ms,ttft_warm_std_ms,tgs_mean_tok_s,tgs_std_tok_s,accuracy_mean,accuracy_correct,accuracy_total,exact_match_mean,exact_match_correct,exact_match_total
qwen05,stress_cpu_matrix,llama.cpp/llama-completion,CPU,0.7,global,all,45,17339.716,16009.098,6966.17,88874.25,8264.161,1648.082,2.627,0.593,0.667,22,33,0.455,15,33
qwen05,stress_cpu_matrix,llama.cpp/llama-completion,CPU,0.7,task_type,closed,24,9331.302,1517.492,6966.17,10844.13,9100.406,1665.318,2.68,0.654,0.667,16,24,0.625,15,24
qwen05,stress_cpu_matrix,llama.cpp/llama-completion,CPU,0.7,task_type,structured,9,20063.229,7656.501,13053.92,33165.88,7885.672,1265.045,2.459,0.361,0.667,6,9,0.0,0,9
qwen05,stress_cpu_matrix,llama.cpp/llama-completion,CPU,0.7,task_type,discursive,12,31313.908,24873.402,12689.46,88874.25,6875.539,394.455,2.647,0.621,,,,,,
