model_label,temperature,runs,prompt_count,model_size_file_mb,valid_latency_runs,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,ttft_warm_mean_ms,ttft_warm_std_ms,tgs_mean_tok_s,tgs_std_tok_s,accuracy_mean,accuracy_correct,accuracy_total,exact_match_mean,exact_match_correct,exact_match_total,bertscore_f1_mean,bertscore_f1_std,model_display,temperature_display
qwen25_1.5b,0.5,45,15,1126,45,15638.608444444444,5657.034751883131,9621.78,36101.1,11327.08818,2365.958329535408,2.922222222222222,0.0223493836491065,0.8787878787878788,29.0,33,0.6363636363636364,21.0,33,0.488828,0.128455,Qwen 1.5B,T=0.5
qwen25_1.5b,0.7,45,15,1126,45,15596.346,5595.18062190351,9649.35,36251.89,11350.086322222223,2369.5427956512144,2.8962222222222227,0.0643954010529298,0.8787878787878788,29.0,33,0.6060606060606061,20.0,33,0.490901,0.13593,Qwen 1.5B,T=0.7
qwen25_1.5b,1.0,45,15,1126,45,15826.981777777775,5533.990163746017,9631.56,36105.08,11330.34928666667,2368.04495877143,2.918222222222222,0.0177468164736522,0.9090909090909092,30.0,33,0.6060606060606061,20.0,33,0.485831,0.149836,Qwen 1.5B,T=1.0
